timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1650007398480,409,Delete an item,200,OK,Thread Group 1-3,text,true,,267,227,5,5,https://api.demoblaze.com/deleteitem,409,0,0
1650007398693,319,Add To Cart,400,Bad Request,Thread Group 1-4,text,false,,409,264,5,5,https://api.demoblaze.com/addtocart,318,0,0
1650007398890,314,Get Items in Cart After deletion,400,Bad Request,Thread Group 1-3,text,false,,409,206,5,5,https://api.demoblaze.com/viewcart,313,0,0
1650007399013,388,Add To Cart,400,Bad Request,Thread Group 1-4,text,false,,409,264,5,5,https://api.demoblaze.com/addtocart,388,0,0
1650007398927,681,Signup into Demoblaze,200,OK,Thread Group 1-6,text,false,Test failed: text expected not to contain /errorMessage/,281,228,6,6,https://api.demoblaze.com/signup,681,0,274
1650007396911,681,SignUp - Transaction Controller,,"Number of samples in transaction : 1, number of failing samples : 1",Thread Group 1-6,,false,,281,228,6,6,null,681,2016,274
1650007399179,429,Login Into demoblaze,200,OK,Thread Group 1-5,text,true,,272,227,6,6,https://api.demoblaze.com/login,428,0,0
1650007399204,405,Delete Cart,200,OK,Thread Group 1-3,text,true,,230,202,6,6,https://api.demoblaze.com/deletecart,404,0,0
1650007398174,429,Login - Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,272,227,6,6,null,428,1006,0
1650007397133,2468,Purchase Items - Transaction Controller,,"Number of samples in transaction : 8, number of failing samples : 5",Thread Group 1-3,,false,,2542,1633,6,6,null,2465,8,0
1650007399609,0,Debug Sampler,200,OK,Thread Group 1-5,text,true,,574,0,6,6,null,0,0,0
1650007399402,310,Get Items in Cart,400,Bad Request,Thread Group 1-4,text,false,,409,206,5,5,https://api.demoblaze.com/viewcart,310,0,0
1650007399612,311,Add To Cart,400,Bad Request,Thread Group 1-5,text,false,,409,264,5,5,https://api.demoblaze.com/addtocart,311,0,0
1650007399714,507,Delete an item,200,OK,Thread Group 1-4,text,true,,267,227,5,5,https://api.demoblaze.com/deleteitem,507,0,0
1650007399924,315,Add To Cart,400,Bad Request,Thread Group 1-5,text,false,,409,264,5,5,https://api.demoblaze.com/addtocart,315,0,0
1650007400222,311,Get Items in Cart After deletion,400,Bad Request,Thread Group 1-4,text,false,,409,206,5,5,https://api.demoblaze.com/viewcart,310,0,0
1650007400239,310,Add To Cart,400,Bad Request,Thread Group 1-5,text,false,,409,264,5,5,https://api.demoblaze.com/addtocart,310,0,0
1650007400550,304,Get Items in Cart,400,Bad Request,Thread Group 1-5,text,false,,409,206,5,5,https://api.demoblaze.com/viewcart,303,0,0
1650007400534,404,Delete Cart,200,OK,Thread Group 1-4,text,true,,230,202,6,6,https://api.demoblaze.com/deletecart,404,0,0
1650007400253,685,Signup into Demoblaze,200,OK,Thread Group 1-7,text,false,Test failed: text expected not to contain /errorMessage/,281,228,6,6,https://api.demoblaze.com/signup,685,0,288
1650007398379,2549,Purchase Items - Transaction Controller,,"Number of samples in transaction : 8, number of failing samples : 5",Thread Group 1-4,,false,,2542,1633,6,6,null,2546,10,0
1650007398239,685,SignUp - Transaction Controller,,"Number of samples in transaction : 1, number of failing samples : 1",Thread Group 1-7,,false,,281,228,6,6,null,685,2014,288
